"text","label","task_id"
"is-numeric s: 	true 	try: 		drop to-num s 	catch value-error: 		not   for v in [ ""1"" ""0"" ""3.14"" ""hello"" ""12e3"" ""12ef"" ""-3"" ]: 	!.( v is-numeric v )",216,0
"using Color, Images, FixedPointNumbers   const M_RGB_Y = reshape(Color.M_RGB_XYZ[2,:], 3)   function rgb2gray(img::Image)     g = red(img)*M_RGB_Y[1] + green(img)*M_RGB_Y[2] + blue(img)*M_RGB_Y[3]     g = clamp(g, 0.0, 1.0)     return grayim(g) end   function gray2rgb(img::Image)     colorspace(im",389,0
"/*REXX program implements a sleep sort (with numbers entered from the command line (CL).*/ numeric digits 300                               /*over the top,  but what the hey!     */                                                  /*  (above)  ··· from vaudeville.      */ @.=",685,0
"type point = { x : float; y : float }     let cmpPointX (a : point) (b : point) = compare a.x b.x  let cmpPointY (a : point) (b : point) = compare a.y b.y      let distSqrd (seg : (point * point) option) =   match seg with   | None -> max_float   | Some(line) ->     let a = fst line in     let b",572,0
"#include <algorithm> #include <iostream>   /* AVL node */ template <class T> class AVLnode { public:     T key;     int balance;     AVLnode *left, *right, *parent;       AVLnode(T k, AVLnode *p) : key(k), balance(0), parent(p),                         left(NULL), right(NULL) {}       ~AVLnode() {",133,0
"$ include ""seed7_05.s7i"";   include ""bigint.s7i"";   include ""bigrat.s7i"";   const type: mTerms is array array bigInteger;   const array mTerms: testCases is [] (     [] ([] ( 1_, 1_,   2_), [] ( 1_, 1_,   3_)),     [] ([] ( 2_, 1_,   3_), [] ( 1_, 1_,   7_)),     [] ([] ( 4_, 1_,   5_), [] (-1_, 1_,",753,0
"#include <iostream>   const int WIDTH = 81; const int HEIGHT = 5;   char lines[WIDTH*HEIGHT];   void cantor(int start, int len, int index) { 	int seg = len / 3; 	if (seg == 0) return; 	for (int i = index; i < HEIGHT; i++) { 		for (int j = start + seg; j < start + seg * 2; j++) { 			int pos = i * WID",133,0
"Local mynum, myfunc",807,0
"define mean(v);     lvars n = length(v), i, s = 0;     if n = 0 then         return(0);     else         for i from 1 to n do             s + v(i) -> s;         endfor;     endif;     return(s/n); enddefine;",642,0
"sd(u,v)={   my(r=List());   u=vecsort(u,,8);   v=vecsort(v,,8);   for(i=1,#u,if(!setsearch(v,u[i]),listput(r,u[i])));   for(i=1,#v,if(!setsearch(u,v[i]),listput(r,v[i])));   Vec(r) }; sd([""John"", ""Serena"", ""Bob"", ""Mary"", ""Serena""],[""Jim"", ""Mary"", ""John"", ""Jim"", ""Bob""])",592,0
"@echo off setlocal enabledelayedexpansion   set ""extensions=.zip .rar .7z .gz .archive .A##""   :loop if ""%~1""=="""" exit /b set onlist=0   for %%i in (%extensions%) do if /i ""%~x1""==""%%i"" set onlist=1   if %onlist%==1 (   echo Filename: ""%~1"" ^| Extension: ""%~x1"" ^| TRUE ) else (   echo Filename: ""%",101,0
"dec app  :( list ( char ) X list ( char )) -> list ( char ) ; dec i2c  : num -> char; dec i2s  : num -> list(char); dec beer : num -> list(char);   --- app ( nil , w )        <= w  ; --- app (( a  ::  v ), w )        <=( a  ::  app ( v , w )) ;   --- i2c(0) <= '0'; --- i2c(1) <= '1'; --- i2c(2) <= '",339,0
"10 INPUT ""HOW MANY"";N 20 IF N<1 THEN END 30 DIM C(N) 40 DIM D(N) 50 LET C(1)=1 60 LET D(1)=1 70 FOR J=1 TO N 80 FOR I=1 TO N-J+1 90 PRINT ""  ""; 100 NEXT I 110 FOR I=1 TO J 120 PRINT C(I)"" ""; 130 NEXT I 140 PRINT 150 IF J=N THEN END 160 C(J+1)=1 170 D(J+1)=1 180 FOR I=1 TO J-1 190 D(I+1)=C(I)+C(I+1)",173,0
"Og hvad, hvis de ikke forstår de spørgsmål, som de træffer beslutning om?",0,1
"– Herr talman! Även jag vill börja med att tacka Christa Klaß för hennes arbete.",2,1
"Det kommer att innebära att det blir lättare att köpa och sälja bilar över ländernas gränser.",2,1
"Kommissærens og Kommissionens forslag om at afskaffe den og udelukkende bevare en destillation i tilfælde af krise var glimrende.",0,1
"Hvordan kan en revolusjon gi opphav til så vakker kunst mens vi følger revolusjonære som bare skaper kaos?",1,1
"Jag hoppas att vi av Lissabonmötet kommer att få en klarare bild av hur unionens budget kan bidra till vårt gemensamma mål att skapa nya arbetstillfällen på kontinenten.",2,1
"Så jeg tog til Californien og direkte over til det nye hovedkvarter.",0,1
"Vi har ingenting emot ett ökat mellanstatligt samarbetet mellan EU: s medlemsstater eller med andra relevanta stater för att minska arbetslösheten och integrera miljöhänsyn i den ekonomiska politiken. Vi motsätter oss dock varje försök att inskränka medlemsstaternas handlingsfrihet beträffande den e",2,1
"Kanske har jag till viss del ändrat åsikt, därför att Grekland spelar en mycket värdefull roll när det gäller att leda och samordna det regionala samarbetet.",2,1
"I direktivets artikel 21 fastsættes det imidlertid, at elproducenter og elleverandørvirksomheder, når medlemsstaterne tillader sådanne, må have egne bygninger, må have datterselskaber og må have særlige kunder, der har direkte forbindelse til deres elnet.",0,1
"På sørgelige mindedage husker vi i dag på dengang, folkemordene i Rwanda og Burundi begyndte, hvor man også valgte at se den anden vej.",0,1
"Efter husleje, forbrug, benzin og telefon, så har vi penge tilovers denne måned.",0,1
"I Buitenwegs betänkande stöder vi speciellt hennes disciplin när det gäller parlamentets budget.",2,1
"526 U.S. 227119 S.Ct. 1215143 L.Ed.2d 311 JONES v. UNITED STATES(97-6203)116 F.3d 1487, reversed and remanded. SUPREME COURT OF THE UNITED STATES119 S.Ct. 1215143 L.Ed.2d 311 No. 97 6203  NATHANIEL JONES, PETITIONER v. UNITED STATES ON WRIT OF CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE",0,2
"524 U.S. 357118 S.Ct. 2014141 L.Ed.2d 344 PENNSYLVANIA BOARD OF PROBATION AND PAROLE, Petitioner,v.Keith M. SCOTT. No. 97-581. Supreme Court of the United States Argued March 30, 1998. Decided June 22, 1998.   Syllabus *  A condition of respondent's Pennsylvania parole was that he refrain from ownin",0,2
"506 U.S. 546 113 S.Ct. 941 122 L.Ed.2d 330 UNITED STATES, Petitionerv.William F. HILL et ux. No. 91-1421. Argued Nov. 2, 1992. Decided Jan. 25, 1993.   Syllabus *  Under § 57(a)(8) of the Internal Revenue Code of 1954, 26 U.S.C. § 57(a)(8) (1976 ed.), ""the excess of the deduction for depletion . . .",11,2
"519 U.S. 452117 S.Ct. 905137 L.Ed.2d 79 Francis Bernard AUER, et al., Petitioners,v.David A. ROBBINS, et al. No. 95-897. Supreme Court of the United States Argued Dec. 10, 1996. Decided Feb. 19, 1997.   Syllabus *  Petitioners, St. Louis police sergeants and a lieutenant, sued respondent police comm",6,2
"510 U.S. 517 FOGERTYv.FANTASY, INC. No. 92-1750. Supreme Court of United States. Argued December 8, 1993. Decided March 1, 1994.  After petitioner Fogerty's successful defense of a copyright infringement action filed against him by respondent Fantasy, Inc., the District Court denied his motion for a",5,2
"528 U.S. 470120 S.Ct. 1029145 L.Ed.2d 985 SyllabusNOTE:  Where it is feasible, a syllabus (headnote) will be released, as is being done in connection with this case, at the time the opinion is issued. The syllabus constitutes no part of the opinion of the Court but has been prepared by the Reporter",0,2
"510 U.S. 4 IN RE SASSOWER No. 92-8933. Supreme Court of United States. Decided October 12, 1993.*  In the three years prior to this Term, pro se petitioner Sassower had filed 11 petitions. However, in the last four months, he has suddenly increased his filings and now has 10 petitions pending before",1,2
"535 U.S. 137 HOFFMAN PLASTIC COMPOUNDS, INC.v.NATIONAL LABOR RELATIONS BOARD. No. 00-1595. Supreme Court of the United States. Argued January 15, 2002. Decided March 27, 2002.  CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE DISTRICT OF COLUMBIA CIRCUIT Petitioner hired Jose Castro on the b",1,2
"537 U.S. 393 SCHEIDLER ET AL.v.NATIONAL ORGANIZATION FOR WOMEN, INC., ET AL. No. 01-1118. Supreme Court of United States. Argued December 4, 2002. Decided February 26, 2003.*  Respondents, an organization that supports the legal availability of abortion and two facilities that perform abortions, fil",4,2
"519 U.S. 357117 S.Ct. 855137 L.Ed.2d 1 Paul SCHENCK and Dwight Saunders, Petitioners,v.PRO-CHOICE NETWORK OF WESTERN NEW YORK, et al. No. 95-1065. Supreme Court of the United States Argued Oct. 16, 1996. Decided Feb. 19, 1997.   Syllabus *  Respondents, upstate New York abortion doctors and clinics",4,2
"539 U.S. 111 DOW CHEMICAL CO. ET AL.v.STEPHENSON ET AL. No. 02-271. Supreme Court of United States. Argued February 26, 2003. Decided June 9, 2003.  273 F. 3d 249, vacated and remanded in part, and affirmed by an equally divided Court in part. CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE",8,2
"536 U.S. 194 UNITED STATESv.DRAYTON et al. No. 01-631. Supreme Court of the United States. Argued April 16, 2002. Decided June 17, 2002.  CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE ELEVENTH CIRCUIT The driver of the bus on which respondents were traveling allowed three police officers",0,2
"Solve the system of linear equations using matrix methods:  $x+y+z=7$  $2x-3y+2z=0$  $-3x+4y+z=6$",15,3
"Consider a Stackelberg competition where there are two firms in the market. The demand in the market is given by Q = 100 - P and the cost functions for the two firms are C1(Q1) = 20Q1 and C2(Q2) = 40Q2. The firms choose their quantities sequentially, with firm 1 choosing first and firm 2 choosing se",11,3
"In how many ways can you choose 3 different colored balls out of a bag containing 5 red balls, 4 blue balls and 6 green balls?",4,3
"In Traveler's Dilemma, two airline passengers are caught smuggling identical bags that exceed the weight limit, and they face a fine if caught. If each denies knowing the other, the airline cannot prove which one is the owner of the overweight bag, and they will both be fined the same amount, which",11,3
"In the Chicken Game, two drivers are racing towards each other. If both drivers swerve away from each other, they both receive a payoff of 0. If one driver swerves away and the other doesn't, the driver who doesn't swerve receives a payoff of 3 and the one who swerves receives a payoff of -1. If bot",11,3
"Solve the following system of equations for x, y, and z:      2x + 3y - z = 5     4x - 2y + 3z = -8     -2x + y - 6z = 10    Is there a solution for this system of equations? If so, what is the solution? If not, explain why not.",15,3
"What is the intersection cohomology of the complex projective curve given by the equation $y^3 + z^3 = x^3$ in complex projective 3-space?",1,3
"Suppose you have a graph G with seven vertices and the following edges:  {(1,2), (1,4), (1,5), (2,3), (2,5), (3,6), (4,5), (5,6), (5,7), (6,7)}. Determine the chromatic number of G.",13,3
"Consider the system of linear equations below:  2x + y - z = 8 x - y + 3z = 6 4x + y + 2z = 9  However, the data in the third equation is noisy and the correct value is actually 4. Solve the system of linear equations with the corrected data and find the values of x, y, and z.",15,3
"Consider the two polynomial equations:  f(x, y) = x^3 + 2x^2y - xy^2 - 2y^3 - 4x g(x, y) = x^2 + y^2 - 4  Using Bezout's theorem, find the number of intersection points between the curve defined by f(x, y) = 0 and the circle defined by g(x, y) = 0.",1,3
"What is the number of possible keys for a monoalphabetic substitution cipher if we have a total of 26 letters in the English alphabet?",6,3
"Find the minimum value of the multivariable function f(x,y) = 2x^2 + 3y^2 - 4x - 6y + 2 using the quasi-Newton method.",18,3
